cid	SMILES	Binding_Modes
2KC	CC1(CCN(CC1)Cc2ccn3c2c(ncn3)Nc4cc(cc(c4)Br)O)N	I
0NH	CC1(CCN(CC1)S(=O)(=O)C)n2cnc3c2c4cc[nH]c4nc3	I
G54	CC1(CCc2c1cc(cc2)c3c4cc[nH]c4ncn3)NC#N	I
6T2	CC1(COC1)COc2ccc3c(c2)ncn3c4ccc5cccc(c5n4)N6CCC(CC6)N	I
41A	CC1(Cc2c(sc(n2)N3CCOCC3)C(=O)C1)C	I
9OL	CC1(Cc2cc(ccc2-c3c1c(ncn3)N)C(=C)C4CCNCC4)C	I
9OF	CC1(Cc2cc(ccc2-c3c1c(ncn3)N)OC)C	I
P48	CC1(Cc2cnc(nc2-c3c1c(nn3C)C(=O)NC)Nc4ccc(cc4)N5CCN(CC5)C)C	I
5VS	CC1(NC(=O)c2ccc(cc2N1Cc3ccccc3)n4c5cccnc5[nH]c4=O)C	I
N53	CC1(c2c(c(n[nH]2)NC(=O)c3cccc(c3)Oc4ccccc4)CN1C(=O)N5CCN(CC5Cc6ccccc6)C)C	I
6Z5	CC1(c2cnc(nc2N(C1=O)C3C=Cc4c3cccc4O)Nc5ccccc5)C	I
ITQ	CC12C(C(CC(O1)n3c4c(c5c3c6n2c7ccccc7c6c8c5C(=O)N=C8)CCCC4)NC)OC	I
1ST	CC12C(C(CC(O1)n3c4ccc(cc4c5c3c6n2c7ccccc7c6c8c5C(=O)N=C8)O)NC)OC	I
4O7	CC12C(C(CC(O1)n3c4ccccc4c5c3-c6n2c7ccccc7c6C8C5C(NC8)O)NC)OC	I
2K2	CC12C(C(CC(O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)N(C)C(=O)c9ccccc9)OC	I
UCN	CC12C(C(CC(O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8O)NC)OC	I
2V9	CC12C(CC(O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)N=C8)(CO)O	I
ZS2	CC1=C(C(NC(=O)N1)c2ccc(c(c2)C(=O)NCc3c4ccccc4ccn3)F)C(=O)Nc5ccc6c(c5)cn[nH]6	I
KZQ	CC1=C(C(NC(=O)N1)c2ccc(cc2)F)C(=O)Nc3ccc4c(c3)c[nH]n4	I
E1D;E5M	CC1C(=O)N(c2cnc(nc2N1C)Nc3cc(c(c(c3)F)O)F)C	I
EA7	CC1C(=O)N(c2cnc(nc2N1CC#C)Nc3cc(c(c(c3)F)O)F)C	I
F7D	CC1C(=O)N(c2cnc(nc2N1CC#C)Nc3cc(c(c(c3)F)O)F)CC#C	I
F87;FCS	CC1C(=O)N(c2cnc(nc2N1CCC(C)C)Nc3cc(c(c(c3)F)O)F)CC#C	I
3L0	CC1C(=O)NN=C2N1c3cc(c(cc3OC2)c4ccccc4)N(C)C5(CN(C5)C)C	I
EJS	CC1C(C(NC(=O)N1)c2ccc(c(c2)C(=O)NCc3nc(no3)COC)F)C(=O)Nc4ccc5c(c4)c[nH]n5	I
D58	CC1C(CCCN1)Nc2c3cc(sc3c(cn2)C(=O)N)c4ccccc4	I
EX4	CC1CC(=O)Nc2c1c(ncn2)N3CCC(CC3)c4nc(cn4CCN5CCCC5)c6ccc(c(c6)C(F)(F)F)F	I
5H7	CC1CC(CC(C1)N)c2ccncc2NC(=O)c3ccc(c(n3)c4c(cccc4F)F)F	I
EGJ	CC1CC(CCN1Cc2cccc(c2F)Cl)(Cc3c4ccccc4cc(n3)Nc5nccs5)C(=O)O	I
3Q6	CC1CC(CN(C1)c2cc(nc(n2)N)c3ccc4c(c3)[nH]nc4N)NC(=O)OC(C)(C)C	I
0RF	CC1CC(c2c1c(ncn2)N3CCN(CC3)C(=O)C(CNC(C)C)c4ccc(cc4)Cl)O	I
A58	CC1CCC(CC1)NCc2ccc-3c(c2)Cc4c3n[nH]c4c5ccc(cc5)C(=O)O	I
3Q4	CC1CCC(CN1c2cc(nc(n2)N)c3ccc4c(c3)[nH]nc4N)C(=O)Nc5ccccc5	I
3Q5	CC1CCC(CN1c2cc(nc(n2)N)c3ccc4c(c3)[nH]nc4N)NC(=O)OC(C)(C)C	I
0VG	CC1CCCN1c2cccc(n2)Nc3cc(nn4c3ncc4)c5ccccc5	I
4Q2	CC1CCN(C1C(=O)N)C(=O)Nc2nc3c(s2)-c4c(cnc(n4)C(C)(C)C)CC3	I
7GT	CC1CCN(CC1N(C)c2c3cc[nH]c3ncn2)C(=O)N4CCC(C4)S(=O)(=O)c5ccccc5	I
7GV	CC1CCN(CC1N(C)c2c3cc[nH]c3ncn2)C(=O)N4CCCC4	I
FS7	CC1CCc2c(c(c3ccccc3n2)C(=O)OC(C)C(=O)Nc4ccc(cc4)S(=O)(=O)N)C1	I
2HX	CC1CN(CC(C1O)N)c2ccncc2NC(=O)c3ccc(c(n3)c4c(cccc4F)F)F	I
A1N	CC1CN(CC(O1)C)c2cc(ncn2)c3c4cc(ccc4[nH]n3)OC5(CC5)C	I
3KZ	CC1CN(CCC1c2cc3c(cc2c4ccccc4F)OCC5=NNC(=O)C(N35)C)C	I
8FX	CC1CN(CCN1)C(=O)c2nc3ccc(cc3c(n2)Nc4cc([nH]n4)C5CC5)Cl	I
B18	CC1CNC(=O)c2c1c3cc(ccc3[nH]2)C(=O)Nc4nc(cs4)C(=O)NCCN(C)C	I
1TT	CC1COCCN1C2=NC3N(CCC(N3Cc4cc(cnc4)Cl)C(F)(F)F)C(=O)C2	I
3Q2	CC1COCCN1c2cc(nc(n2)N)c3ccc4c(c3)[nH]nc4N	I
8DV	CC1COCCN1c2cc(nc(n2)c3cccc4c3cc[nH]4)C5(CC5)S(=O)(=O)C6CC6	I
3K6	CC1Cn2c(c(cn2)c3ccc(cc3)S(=O)(=O)N(C)C)CN1c4ccnc5c4cc[nH]5	I
6CD	CC1c2c(cc([nH]2)c3cccc4c3nc(n(c4=O)C)NC(C)(C)C)C(=O)N1	I
JYG	CC1c2c(cc([nH]2)c3cccc4c3nc(n(c4=O)C5(CC5)C)NC6(CC6)C)C(=O)N1	I
SMY	CC1c2c(ncnc2N3CCN(CC3)C(=O)C(Cc4c[nH]c5c4cccc5)N)CS1	I
5P8	CC1c2cc(ccc2C(=O)N(Cc3c(c(n(n3)C)C#N)-c4cc(c(nc4)N)O1)C)F	I
J99	CC1c2cc(ccc2C(=O)N(Cc3c(c(nn3C)C4CC4)-c5cc(c(nc5)N)O1)C)F	I
KVC	CC1c2cc(ccc2C(=O)N(Cc3c(n4cc(ccc4n3)C#N)-c5cnc(c(n5)O1)N)C)F	I
7H4	CCC(=O)N1CC(CCC1C)Nc2c3cc[nH]c3ncn2	I
7KV	CCC(=O)N1CCC2CCN(C2C1)c3c4cc[nH]c4ncn3	I
7KU	CCC(=O)N1CCCC(C1)Nc2c3cc[nH]c3ncn2	I
862	CCC(=O)N1CCCC(C1)n2c3c(c(n2)c4cn(nn4)c5ccc(cc5)C(=O)C)c(ncn3)N	I
5X4	CCC(=O)N1CCCCC(C1)n2c3c(cccc3nc2NC(=O)c4cccc(c4)C(F)(F)F)C	I
SYP	CCC(=O)NCCNc1cc(ncn1)NCCS	I
3LH	CCC(=O)Nc1cc(ccc1C)n2c(=O)ccc3c2c4cc(ccc4nc3)c5c[nH]nc5	I
1WY	CCC(=O)Nc1ccc(c(c1)Nc2ncc(c(n2)c3c[nH]c4c3cccc4)Cl)OC	I
9YQ	CCC(=O)Nc1ccc(cc1)C(=O)Nc2ccc(cc2)Nc3ncc4c(n3)N(c5ccc(cc5C(=O)N4C)C)C	I
B6H	CCC(=O)Nc1ccc(cc1)C(=O)c2c(nc(s2)Nc3ccc(cc3OC)N4CCN(CC4)C)N	I
YUN	CCC(=O)Nc1ccc2c(c1)c(ncn2)Nc3cccc(c3)Br	I
B6Q	CCC(=O)Nc1cccc(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)N4CCN(CC4)C)N	I
9Z4	CCC(=O)Nc1cccc(c1)CNc2c3cccn3ncc2C(=O)N	I
FZP	CCC(=O)Nc1cccc(c1)N(c2ccnc(n2)Nc3ccn(n3)C)C(=O)OCc4ccc(cc4)F	I
7KX	CCC(=O)Nc1cccc(c1)c2c3cc[nH]c3ncn2	I
G9B	CCC(=O)Nc1cccc(c1)n2c3ccccc3nc2c4c(ncc(n4)c5cnn(c5)C6CCN(CC6)C)N	I
CQ3	CCC(=O)Nc1ccccc1Nc2c(cnc(n2)NC3CCOCC3)Cl	I
6TT	CCC(=O)Nc1ccccc1Nc2c(cnc(n2)Nc3cc(cnc3)OC)C(F)(F)F	I
6TS	CCC(=O)Nc1ccccc1Nc2c(cnc(n2)Nc3ccnc(c3)C#CCCNC(=O)OC4CCCC=CCC4)Cl	I
46C	CCC(=O)c1c(c2cc(ccc2c(=O)n1Cc3ccc(cc3)C(=O)O)Cl)c4ccccc4	I
VJK	CCC(C)(C(=O)NCC(F)(F)F)Nc1ccnc(n1)c2c[nH]c3c2cccn3	I
60E	CCC(C)n1c2cc(ncc2c(n1)N3CC(C3)C(C)(C)O)Nc4ccnc(n4)c5cnn(c5)S(=O)(=O)C6CC6	I
5W8	CCC(CO)NS(=O)(=O)c1cc(ccc1OC)c2c(nc3n2nc(cc3NCCNC(=O)C)Cl)C	I
4RB	CCC(CO)Nc1ccc2ncc(n2n1)c3ccc(cc3)C(=O)O	I
SLQ;RC8	CCC(CO)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3ccc(cc3)c4ccccn4	I
NNN	CCC(CO)Nc1nc2c(cnn2c(n1)NCc3ccccc3)C(C)C	I
E57	CCC(CO)Nc1ncc(c(n1)c2cc([nH]c2)C(=O)NC(CO)c3cccc(c3)Cl)C	I
400	CCC(c1ccccc1)NC(=O)c2cc3c(s2)c(n[nH]3)NC(=O)c4ccc(cc4)N5CCN(CC5)C	I
2QK	CCC(c1ccccc1Cl)NC(=O)c2ccc3c(c2)c(n[nH]3)c4ccc(cc4)OC5CCN(CC5)C	I
6VL	CCC1(c2c[nH]nc2NC3=C1C(=O)CC(C3)(C)C)c4ccccc4	I
75F	CCC1(c2cn[nH]c2N=C3C1C(=O)CC(C3)(C)C)c4ccccc4	I
IBI	CCC1C(=O)N(c2cnc(nc2N1C(C)C)Nc3ccc(cc3OC)C(=O)NC4CCC(CC4)N5CCN(CC5)CC6CC6)C	I
R78	CCC1C(=O)N(c2cnc(nc2N1C3CCCC3)Nc4ccc(cc4OC)C(=O)NC5CCN(CC5)C)C	I
1D1	CCC1C(=O)N(c2cnc(nc2N1C3CCCC3)c4ccc[nH]4)C	I
1C7	CCC1C(=O)N(c2cnc(nc2N1C3CCCC3)n4ccnc4c5ccccc5)C	I
1C8	CCC1C(=O)N(c2cnc(nc2N1C3CCCC3)n4ccnc4c5cscn5)C	I
11G	CCC1C(=O)N(c2cncnc2N1C3CCCC3)C	I
8CG	CCC1C(NC(=O)C1F)COc2c3cc(c(cc3ccn2)C(=O)N)OC	I
9ZP	CCC1C2NN=CN2c3cnc(nc3N1C4CCCC4)Nc5ccc(cc5OC)C(=O)NC6CC6	I
79D	CCC1c2c(ncn2-c3cnc(nc3N1C4CCCC4)Nc5ccc(cc5OC)C(=O)NC6CCN(CC6)C)C#N	I
YIT	CCCC(=NNC(=N)N)c1ccc(cc1)NC(=O)c2cc3cc(ccc3[nH]2)OC	I
OFI	CCCC(=O)Nc1c2ccc(cc2[nH]n1)c3ccc(cc3)O	I
FBY	CCCCN1c2cnc(nc2N(C(C1=O)C)C)Nc3cc(c(c(c3)F)O)F	I
ALH	CCCCc1c2c([nH]c1c3ccc(cc3)O)nccn2	I
63E	CCCCc1cc(nc(n1)N)c2c[nH]c3c2cccn3	I
L90	CCCCn1c(cn2c1nc3c2c(=O)[nH]c(=O)n3C)c4c(ccc5c4cn[nH]5)C	I
L87	CCCCn1c(cn2c1nc3c2c(=O)[nH]c(=O)n3C)c4ccccc4C	I
G6J	CCCN1c2cnc(nc2N(C(C1=O)C)CCC)Nc3cc(c(c(c3)F)O)F	I
4S1	CCCNc1ncc(c(n1)NC2CC(C(C2O)O)CO)c3nc4ccccc4s3	I
EE4	CCCOc1ccc(c(c1C(=O)c2ccc(cc2)C(=O)NC3CNCC3NC(=O)c4ccc5c(c4)cn[nH]5)F)OC	I
MHR	CCCOc1ccnc2c1c(c[nH]2)c3ccnc(n3)N	I
D7D	CCCS(=O)(=O)NC1CC(C1)N(C)c2c3cc[nH]c3ncn2	I
8H0	CCCc1cc2cnc(nc2c(c1)OC3CCNCC3)Nc4ccc5cn[nH]c5c4	I
984	CCCn1c(c(nc1C2CCN(CC2)C)c3ccc(c(c3)Cl)Cl)c4ccnc(n4)NC5CC5	I
3C3	CCCn1c(nc(n1)c2c(non2)N)c3c(non3)N	I
EDH	CCCn1c2ccccc2[nH]c1=NC(=O)c3cccc(c3)C(=O)N	I
35X	CCCn1cc(cn1)c2c[nH]c3c2nc(cn3)c4ccncc4	I
2WH	CCCn1cc(nc1)CCNC(=O)Nc2nc3ccc(cc3s2)c4cc(cnc4)OC	I
ZOP	CCN(C)C(=O)c1ccc2c(c1)NC(=O)C2=C(c3ccccc3)Nc4ccc(cc4)CN5CCCCC5	I
1P5	CCN(CC)C(=O)C1CCCN(C1)c2cc(ncn2)c3c(nn4c3nccc4)N	I
0JE	CCN(CC)C(=O)Nc1c[nH]nc1c2[nH]c3cc(c(cc3n2)F)OCC	I
9EJ	CCN(CC)C(C)CNC(=O)c1cc(nc(c1)N2CCC2C(=O)NC)c3cnn4c3nc(cc4)c5cccs5	I
RTX	CCN(CC)CCCCN1c2ccccc2Oc3c1cc(cc3)Cl	I
1BM	CCN(CC)CCNc1cc(nc(n1)n2cnc3c2cccc3)Nc4cc(ccc4C)O	I
96M	CCN(CC)CCOc1ccc(cc1)Nc2ncc3cc(c(=O)n(c3n2)C)c4c(cccc4Cl)Cl	I
GDW	CCN(CC)CCn1c2c(c3c1-c4ccccc4C3=O)C(=O)CCC2	I
OFT	CCN(CC)S(=O)(=O)c1ccc2c(c1)C(=C3C(=NO)c4ccccc4N3)C(=O)N2	I
0VE	CCN(CCO)c1ccc(cc1)Nc2c3nccn3c(cn2)c4cccc(c4)O	I
EML	CCN(Cc1cc(sn1)Nc2c3ncc(n3cc(n2)C)c4c[nH]nc4)C(C)(C)CO	I
4DT	CCN(c1cccc2c1cn[nH]2)c3c(cnc(n3)NC4=CCC5=CNN(C5=C4)CCCO)F	I
4DF	CCN(c1cccc2c1cn[nH]2)c3c(cnc(n3)Nc4ccc5c(c4)S(=O)(=O)NC5)Cl	I
4DQ	CCN(c1cccc2c1cn[nH]2)c3c(cnc(n3)Nc4ccc5c(c4)S(=O)(=O)NC5)F	I
30K	CCN1CCC(CC1)Nc2ccc3c(c2)C(=C(c4ccccc4)c5[nH]c6ccc(cc6n5)OC)C(=O)N3	I
NM8	CCN1CCN(CC1)Cc2cc(cc(c2)NC(=O)c3cccc4c3ccc(c4)c5ccc(o5)C=C6C(=O)NC(=O)S6)C(F)(F)F	I
AEE	CCN1CCN(CC1)Cc2ccc(cc2)c3cc4c([nH]3)ncnc4NC(C)c5ccccc5	I
81C	CCN1CCN(CC1)c2cc(c(cc2NC(=O)C=C)Nc3ncc(c(n3)Nc4ccccc4S(=O)(=O)C(C)C)Cl)OC	I
F8Y	CCN1c2c(cnc(n2)Nc3cc(c(c(c3)F)O)F)N(C(=O)C1C)CC#C	I
J07	CCNC(=O)N1CCC(CC1)Nc2ncc(c(n2)c3c[nH]c4c3cccc4)Cl	I
3WH	CCNC(=O)N1CCC(CC1)Nc2ncc(c(n2)c3c[nH]c4c3cccc4)I	I
G5D	CCNC(=O)c1ccc(cc1)Nc2nccc(n2)N3CC4CC3CN4C(=O)CC#N	I
A0T	CCNc1c(cnc(n1)Nc2cc(c(cc2OC)C(=O)N3CCOCC3)F)C(F)(F)F	I
3Q0	CCNc1cc(nc(n1)N)c2ccc3c(c2)[nH]nc3N	I
2OO	CCNc1nc2ccc(cc2n1c3ncnc(n3)N)C#CC(C)(C)O	I
EK6	CCOC(=O)CNCc1ccc(cc1Cl)c2cn[nH]c2c3cc([nH]c3)C(=O)NC(CO)c4ccc(c(c4)Cl)F	I
V25	CCOC(=O)c1c(c2ccc(c(c2n1C)Cl)Cl)C(=CN)C#N	I
SM6	CCOC(=O)c1c(c2ccncc2s1)Nc3ccc4=C(CC=c4c3)NO	I
Y3M	CCOC(=O)c1c2c(c[nH]1)C(C3=C(CCCC3=N2)O)c4ccc(o4)Sc5[nH]c6ccccc6n5	I
QMN	CCOC(=O)c1c2c(c[nH]1)C(C3=C(N2)CCCC3=O)c4cccc(c4)Oc5[nH]c6ccccc6n5	I
4YM	CCOC(=O)c1cnc2c(c1N3CCOC(C3)CN)c(n[nH]2)c4cccc(c4)C#N	I
YM3	CCOC(=O)c1cnc2c(c1N3CCOC(C3)CN)cn[nH]2	I
Q0B	CCOCCCNC(=O)c1c2c(nc3ccccc3n2)n(c1N)c4ccccc4Cl	I
SMH	CCOCCN(CC(CN1CCCC2(C1)CC(=O)c3cc(ccc3O2)O)O)S(=O)(=O)c4c(cccc4C)C	I
SM9	CCOCCN(CC(CN1CCCC2(C1)CCN(C2)c3c4ccccc4ncn3)O)S(=O)(=O)c5c(cccc5C)C	I
SMR	CCOCCN(CC(CN1CCCC2(C1)CCc3c(ccc4c3cn[nH]4)O2)O)S(=O)(=O)c5c(cccc5C)C	I
877	CCOc1c(c(cc(n1)NC(=O)Cc2cc(c(cc2OC)Br)OC)N)C#N	I
O22	CCOc1c(c(cc(n1)Nc2ccc(cc2)C(=O)N)N)C#N	I
893	CCOc1c(ccc(n1)C(=O)NCc2cc(ccc2OC)OC)C#N	I
4WG	CCOc1cc(ccc1Nc2ncc3c(n2)N(c4ccccc4C(=O)N3C)C)N5CCC(CC5)O	I
FMW	CCOc1cc(ccc1Nc2ncc3cc(nc(c3n2)NCC(C)(C)C)C)c4nncn4C	I
93J	CCOc1cc2c(cc1NC(=O)C=CCN(C)C)c(c(cn2)C#N)Nc3ccc(c(c3)Cl)F	I
1O5	CCOc1cc2c(cc1c3cnn(c3)C)[nH]nc2c4ccc(c(c4)S(=O)(=O)N)C	I
T95	CCOc1ccccc1Oc2c(cnc(n2)Nc3ccc(cc3)N4CCN(CC4)CCO)C(=O)Nc5c(cccc5C)C	I
3JW	CCS(=O)(=O)N1CC(C1)(CC#N)n2cc(cn2)c3c4cc[nH]c4ncn3	I
CQ6	CCS(=O)(=O)N1CCc2cnc(nc2C1)NC3CCOCC3	I
55S	CCS(=O)(=O)c1ccc(cc1)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3	I
KSS	CCSc1nc(cc2n1ccn2)c3ccc(c(c3)OC)OC	I
8QZ	CCc1c(c(n(n1)CCOCCOCCOC)CC)NC(=O)c2ccn-3c2CCc4c3nc(nc4)Nc5ccc(cc5OC)N6CCN(CC6)C(=O)COC	I
5RC	CCc1c(cc(s1)C(=O)NC2C(CCCC2(F)F)N)c3cnn4c3ncc(c4)C(F)(F)F	I
8RC	CCc1c(nc(c(n1)C(=O)N)Nc2ccc(cc2)N3CCC(CC3)N4CCN(CC4)C)OC5CCN(C5)C(=O)C=C	I
WFE	CCc1c[nH]c2c1c(ncn2)N3CCC(C3)(CNC(=O)c4ccc(cc4F)F)N	I
7GS	CCc1cc(c(cc1c2ccc3c(c2)n[nH]c3c4[nH]c5c(n4)CCN(C5)C(=O)c6cnc(cn6)N7CCCCC7)F)O	I
8ZK	CCc1cc(cc(c1)Nc2ncc(s2)C(=O)Nc3c(cccc3Cl)C)C(=O)NC4CCNCC4	I
7GY	CCc1cc(ccc1c2ccc3c(c2)[nH]nc3C(=O)N)O	I
7GX	CCc1cc(ccc1c2ccc3c(c2)[nH]nc3C(=O)Nc4ccc(nc4)C)O	I
7GZ	CCc1cc(ccc1c2ccc3c(c2)[nH]nc3c4[nH]c5ccccc5n4)O	I
KSH	CCc1cc(n2c(n1)c(c(n2)Nc3cc(cc(c3)OC)OC)C(=O)N)N4CCCC4CO	I
61Y	CCc1cc(nc(n1)N)c2c[nH]c3c2cc(cn3)c4c[nH]nc4	I
4HK	CCc1cc-2c(cc1OC3CCOC3)Cc4c2n[nH]c4c5ccc(nc5)C#N	I
EMH	CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C	I
SVE	CCc1cccc(c1NC(=O)c2c3c(n(n2)C)-c4c(cnc(n4)Nc5ccc(cc5OC(F)(F)F)C(=O)NC6CCN(CC6)C)CC3)CC	I
C5N	CCc1cccc(c1NC(=O)c2c3c(n(n2)C)-c4c(cnc(n4)Nc5ccc(cc5OC)N6CCN(CC6)C)CC3)CC	I
N66	CCc1cccc(c1NC(=O)c2ccn-3c2CCc4c3nc(nc4)Nc5ccc(cc5OC)N6CCN(CC6)C)CC	I
MPY	CCc1cccc(c1NC(=O)n2cc3c(c2)[nH]nc3NC(=O)c4ccc(cc4)N5CCN(CC5)C)CC	I
0VH	CCc1cccc(n1)Nc2cc(nnc2C(=O)N)NC3CCCCC3N	I
AUW	CCc1ccccc1c2c(cc(cc2Cl)CNCCc3[nH]c4ccccc4n3)Cl	I
AWK	CCc1ccccc1c2ccc(cc2Cl)CNCCc3[nH]c4c(cccc4n3)C	I
AOW	CCc1ccccc1c2ccc(cc2Cl)CNCCc3[nH]c4c(n3)cccc4[N+](=O)O	I
AT8	CCc1ccccc1c2ccc(cc2Cl)CNCCc3[nH]c4cc(c(cc4n3)Cl)Cl	I
AOK	CCc1ccccc1c2ccc(cc2Cl)CNCCc3[nH]c4ccc(cc4n3)C	I
AQW	CCc1ccccc1c2ccc(cc2Cl)CNCCc3[nH]c4ccc(cc4n3)Cl	I
AQT	CCc1ccccc1c2ccc(cc2Cl)CNCCc3[nH]c4ccc(cc4n3)OC	I
AQ8	CCc1ccccc1c2ccc(cc2Cl)CNCCc3[nH]c4cccc(c4n3)OC	I
5FI	CCc1cncnc1N2CCN(CC2)Cc3[nH]c4ccc(cc4n3)C(F)(F)F	I
50Y	CCn1c(cc2c1nc(c3c2n(cn3)C)NCCCOC)C(=O)N(C4CC4)C5CC5	I
50V	CCn1c(cc2c1nc(c3c2n(cn3)C)Nc4cc(n(n4)C)C)C(=O)N(C5CC5)C6CC6	I
50W	CCn1c(cc2c1nc(c3c2n(cn3)C)Nc4nc(c(s4)C)C)C(=O)N(C5CC5)C6CC6	I
981	CCn1c2c(cc(c1=O)c3ccc(cc3Cl)Cl)cnc(n2)Nc4ccc(c(c4)F)N5CCNCC5	I
59U	CCn1c2c(cc(c1=O)c3ccc(cc3Cl)c4cncc(n4)C)cnc(n2)NCCC5CCN(CC5)C	I
XR1	CCn1c2c(cc(c1=O)c3ccc(cc3Cl)c4cncs4)cnc(n2)Nc5ccc(cc5)N6CCN(CC6)C	I
G93	CCn1c2c(cnc(c2nc1c3c(non3)N)C#CC(C)(C)O)OCC4CCCNC4	I
G98	CCn1c2cc(nc(c2nc1c3c(non3)N)C#CC(C)(C)O)OC(CCN)c4ccccc4	I
G96	CCn1c2cc(nc(c2nc1c3c(non3)N)C#CC(C)(C)O)OCC(Cc4ccccc4)N	I
CJM	CCn1cnc2c1nc(nc2NCc3[nH]c4ccc(c(c4n3)F)F)N5CCCCC5CCO	I
24A	CCn1cnc2c1nc(nc2Nc3ccc(cc3)P(=O)(CP(=O)(O)O)O)C4CCC(CC4)N	I
23D	CCn1cnc2c1nc(nc2Nc3cccc(c3)Cl)NC4CCCCC4N	I
5HK	CN(C)C(=O)Cc1ccc2c(c1)NC(=O)c3ccc(cc3N2)c4ccc(c(c4)OC)[N+](=O)[O-]	I
19A	CN(C)C(=O)c1cc(c[nH]1)c2c(c[nH]n2)c3ccccc3	I
0XG	CN(C)C(=O)c1ccc(cc1)Nc2ncc(c(n2)OC)c3cc(cs3)C(=O)O	I
CJT	CN(C)C1CCC(CC1)Nc2c3c(c[nH]c3ncn2)C4CCC(CC4)C(=O)N	I
6QY	CN(C)C1CCC(CC1)Nc2c3c(c[nH]c3ncn2)C4CCOCC4	I
6QX	CN(C)C1CCC(CC1)Nc2c3c4c(sc3ncn2)CCC4	I
76P	CN(C)C1CCC(CC1)Oc2c3cc(ccc3ncn2)[N+](=O)[O-]	I
E5J	CN(C)C1CCN(CC1)c2ccc(c(c2)OC)Nc3ncc(c(n3)Nc4ccccc4P(=O)(C)C)Cl	I
B4Y	CN(C)C1CCc2c(sc(n2)NC(=O)c3cccc(c3)C4CCCN4C(=O)Nc5cccc(c5)C#N)C1	I
PO5	CN(C)CC(COc1ccc(cc1)Nc2nccc(n2)c3cnn4c3ccc(n4)N5CCOCC5)O	I
H91	CN(C)CC1CCC(CC1)N2c3c4cc(ccc4ncc3CNC2=O)c5cc(c(c(c5)Cl)O)Cl	I
LY4	CN(C)CC1CCn2cc(c3c2cccc3)C4=C(c5cn(c6c5cccc6)CCO1)C(=O)NC4=O	I
KJ8	CN(C)CCC(=O)Nc1cccc(c1)c2c3c(ncnc3oc2c4ccccc4)NC(CO)c5ccccc5	I
W2P	CN(C)CCCC(=O)NCCn1ccc2c1c(ncn2)Nc3ccc(c(c3)Cl)Oc4cccc(c4)C(F)(F)F	I
AIZ	CN(C)CCCC(=O)Nc1cc(cc(c1)C(=O)O)c2c3ccc(cc3[nH]n2)Nc4ccccc4Cl	I
0WN	CN(C)CCCC(=O)Nc1cc2c(cc1OC3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F	I
5I1	CN(C)CCCC(=O)Nc1ccc(cc1)C(=O)N2CCCC(C2)Nc3ncc(c(n3)c4c[nH]c5c4cccc5)Cl	I
CQQ	CN(C)CCCC(=O)Nc1ccc(cc1)C(=O)Nc2cccc(c2)Nc3nccc(n3)c4cccnc4	I
0F0	CN(C)CCCC(=O)Nc1cccc(c1)C(=O)Nc2ccc(cc2)Nc3nccc(n3)c4cccnc4	I
KJV	CN(C)CCCC(=O)Nc1cccc(c1)c2c3c(ncnc3oc2c4ccccc4)NC(CO)c5ccccc5	I
BI1	CN(C)CCCn1cc(c2c1cccc2)C3=C(C(=O)NC3=O)c4c[nH]c5c4cccc5	I
WTJ	CN(C)CCNC(=O)c1cc(cnc1N)c2c3c(cs2)OCCO3	I
C2V	CN(C)CCNC(=O)c1cccc(c1)c2cnc3n2nc(cc3)c4cccs4	I
38G	CN(C)CCNC(c1cccc(c1)c2cnc3n2nc(cc3)c4ccc(c(c4)OC)O)O	I
26K	CN(C)CCNc1ccn2c(n1)c(cn2)c3c[nH]nc3	I
215	CN(C)CCOc1ccc(cc1)c2[nH]c(c(n2)c3ccc4c(c3)CCC4=NO)c5ccncc5	I
T77	CN(C)CCOc1ccc(cc1)c2c(c3c([nH]2)ncnc3NCC4SCCS4)c5ccccc5	I
YDI	CN(C)CCOc1ccc(cc1)c2cc(c(s2)NC(=O)N)C(=O)N	I
WPH	CN(C)CCOc1ccc(cc1)c2cc3c(ncnc3o2)NCCc4ccc(cc4)NC(=O)Nc5ccccc5	I
LXG	CN(C)Cc1[nH]c(=O)c2c(n1)c3cc(ccc3s2)C=CC4CC4	I
IDV	CN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(c2)[nH]nc3NC(=O)C4CC4	I
K88	CN(C)S(=O)(=O)c1ccc2c(c1)C(=Cc3cc4c([nH]3)CCCC4)C(=O)N2	I
EK7	CN(C)c1c-2c(c(s1)C#N)CCc3c2nc(nc3)Nc4cccc(c4)O	I
BIM	CN(C)c1c2ccc(n1)CCCn3cc(c4c3cccc4)C5=C(c6cn(c7c6cccc7)CCCC2)C(=O)NC5=O	I
55U	CN(C)c1ccc(cc1)c2cc3c(cccn3)c(n2)NCCCN	I
